id,title,defaultLanguage,caption,start,duration
138,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,moving six feet apart at all times both,10.63,5.46
139,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,know the rules let me guess you're the,13.63,4.2
140,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,kind of guy that ignores the rules cuz,16.09,3.39
141,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,it makes you feel in control am i right,17.83,3.33
142,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,you're not wrong you think that's cute,19.48,3.99
143,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,do you think it's cute there's no room,21.16,7.349
144,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,in for the feelings hello world my lung,23.47,9.09
145,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,function is down to 35% now people with,28.509,6.091
146,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,cystic fibrosis aren't supposed to get,32.56,3.99
147,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,within six feet because we could end up,34.6,4.53
148,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,touching each other's bacteria nothing's,36.55,4.2
149,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,gonna save our lives so uh we're,39.13,4.29
150,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,breathing borrow air no I refuse to,40.75,6.15
151,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,believe that can I see her I German what,43.42,7.25
152,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,is this you're making me crazy baby,46.9,5.88
153,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,we're gonna do our treatments together,50.67,3.82
154,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,so that way I know you're actually doing,52.78,4.74
155,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,maybe you're always looking for ways to,54.49,5.51
156,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,spend more time with me aren't you still,57.52,4.47
157,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,don't tell me the one time you're,60,6.36
158,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,interested in some guy he's also got CF,61.99,4.37
159,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,like this blood hopeful why did I pack,66.62,9.9
160,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,anything nice Oh fine Oh cuz you always,73.61,5.64
161,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,make for a hot Hospital romance Oh five,76.52,3.66
162,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,for you,79.25,4.71
163,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,god you're beautiful brave I wish I,80.18,6.93
164,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,could touch you stay the way six feet at,83.96,3.84
165,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,all times,87.11,3.72
166,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,I got catches infection and you can kiss,87.8,8.78
167,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,me lungs goodbye are not normal kids,90.83,9.86
168,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,don't get to take chances like this,96.58,4.11
169,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,this whole time I've been living for my,101.81,4.26
170,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,treatments instead of doing my,103.909,5.931
171,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,treatments so that I can live and,106.07,3.77
172,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,when,115.299,3
173,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,I want us to be with you,118.32,5.52
174,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,after all that CF is stolen from me,127.479,4.791
175,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,I don't mind stealing something back,132.44,3.92
176,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,one foot,136.69,4.22
177,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,which is one foot closer,139.03,5.63
178,Five Feet Apart Trailer #2 (2019) | Movieclips Trailers,en,I will fight for you,144.66,5.09
179,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,why did you make me do that look at me,6.95,10.419
180,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,focus on my voice I'm not giving up on,14.089,7.721
181,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,you team she was my friend you're my,17.369,8.361
182,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,family James no matter what,21.81,3.92
183,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,look,32.379,5.241
184,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,you're special gene,34.84,4.82
185,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,and if you start fighting that force,37.62,4.54
186,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,inside you,39.66,6.03
187,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,to embrace it,42.16,3.53
188,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,he will possess the very power of a God,46.329,4.041
189,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,she'll kill us all tell me how we fix,60.17,11.62
190,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,this trough tell me what to do now don't,70.38,3.879
191,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,know what to do,71.79,4.84
192,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,what they don't understand,74.259,5.341
193,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,they fear and what they fear we seek to,76.63,5.599
194,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,destroy,79.6,2.629
195,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,sure Oh Charles I try to protect her I'm,83.579,7.281
196,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,scared,89.039,5.751
197,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,when I lose control bad things happen to,90.86,8.16
198,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,people I punch the girl dies she's still,94.79,7.7
199,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,June we can still help her,99.02,3.47
200,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,sometimes you want to believe people as,102.97,5.639
201,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,something that they are not,105.8,6.609
202,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,by the time you realize who they are,108.609,3.8
203,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,it's too late,114.78,3.36
204,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,she's coming,128.66,3.42
205,Dark Phoenix Trailer #2 (2019) | Movieclips Trailers,en,you,151.51,2.059
206,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,indeed him of the future of the planet,2.689,4.611
207,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,under necessary shops of the system,7.3,9.18
208,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,I am human evolutionary change,11.21,14.3
209,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,bulletproof superhuman very you bad guy,16.48,13.17
210,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,the mission has been compromised,25.51,5.74
211,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,we need help,29.65,5.56
212,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,our targets name is Brixton he's a ghost,37.09,7.33
213,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,we're gonna need the best trackers in,41.739,5.921
214,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,the business Luke Hobbs on what you call,44.42,6.69
215,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,a nice cold can of whoop-ass career,47.66,7.469
216,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,lawmen always gets his guy we're gonna,51.11,5.81
217,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,need to operate outside the system,55.129,5.041
218,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,Deckard Shaw I'm what you might call a,56.92,8.26
219,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,champagne problem rogue former mi6 agent,60.17,7.71
220,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,doesn't play well with others if we,65.18,4.98
221,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,stand a chance against bricks today you,67.88,5.45
222,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,guys have to work together,70.16,3.17
223,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,this job requires stealth,84,5.51
224,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,look at you I'm trying to save the world,92.76,3.55
225,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,which for the record,95.14,8.13
226,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,you'll be my four-time cuz I'm really,96.31,9.39
227,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,good at it you have no idea what we're,103.27,4.88
228,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,dealing with,105.7,2.45
229,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,Hobbs is sure,112.259,3.9
230,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,you know in war,118.27,3.23
231,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,you've got one,122.4,3.32
232,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,remember me,127.29,2.99
233,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,what,133.17,3
234,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,three shocks will kill a man there we go,162.19,9.94
235,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,the best fit your big mouth huh yeah I,165.26,10.43
236,Hobbs & Shaw Super Bowl Trailer (2019) | Movieclips Trailers,en,thought it was cool things in the moment,172.13,3.56
237,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,Arthur does it help you have someone to,0.829,4.931
238,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,talk to,3.87,7.419
240,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,my mother always tells me to smile and,11.71,8.09
241,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,put on a happy face,16.299,3.501
242,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,she told me I had a purpose to bring,21.48,8.3
243,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,laughter and joy to the world,26.31,3.47
244,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,is it just me or is it getting crazier,37.21,7.91
245,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,out there,42.64,2.48
246,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,though your harvies akin smile even,45.94,10.06
247,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,though it's breaking when there are,51.469,8.52
248,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,cloud in the sky,56,13.19
249,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,you'll get by but if you see sorrows,59.989,9.201
250,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,maybe took my,69.4,4.05
251,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,what's so funny,78.42,6.15
252,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,breach,81.57,3
254,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,Gotham has lost its way,91.11,4.049
256,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,what kind of coward would do something,95.159,4.951
257,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,that cold-blooded someone who hides,97.619,3.341
258,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,behind a mask,100.11,6.11
260,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,I used to think that my life was a,109.719,5
261,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,tragedy,112.179,2.54
263,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,realize,119.12,2.36
264,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,it's a comedy,121.65,6.56
267,Joker Teaser Trailer #1 (2019) | Movieclips Trailers,en,you just,135.81,4.649
270,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,covering her mouth if you're gonna,10.099,2.741
271,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,kidnap her is not gonna make her less,11.67,4.2
272,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,scared okay Darla it's me it's Billy I,12.84,4.83
273,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,know I don't look like me a wizard made,15.87,3.569
274,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,me look don't start the wizard another,17.67,2.64
275,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,more confused,19.439,2.67
276,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,some old guy brought me to a temple and,20.31,7.02
277,Shazam! Exclusive Movie Clip - A Wizard Made Me Look Like This! (2019) | Movieclips Trailers,None,he made me say Shazam visit verbally,22.109,6.811
